alloc,latency(M),DRAM,Total,PKG
1,167.800000,34.020000,38.840000,4.820000
2,84.500000,34.030000,42.440000,8.410000
3,56.700000,34.040000,46.060000,12.020000
4,42.800000,34.050000,49.580000,15.530000
5,34.600000,34.060000,53.110000,19.050000
6,29.000000,34.070000,56.540000,22.470000
7,25.100000,34.090000,59.990000,25.900000
8,22.100000,34.100000,63.360000,29.260000
9,19.800000,34.120000,66.740000,32.620000
10,17.900000,34.130000,70.060000,35.930000
11,16.500000,34.160000,73.290000,39.130000
12,15.200000,34.170000,76.500000,42.330000
13,14.100000,34.190000,79.770000,45.580000
14,13.300000,34.220000,82.860000,48.640000
15,12.500000,34.250000,86.090000,51.840000
16,11.800000,34.250000,89.090000,54.840000
