alloc,latency(M),DRAM,Total,PKG
1,248.000000,34.020000,38.320000,4.300000
2,124.600000,34.030000,41.430000,7.400000
3,83.500000,34.030000,44.570000,10.540000
4,62.900000,34.040000,47.640000,13.600000
5,50.600000,34.050000,50.740000,16.690000
6,42.400000,34.060000,53.740000,19.680000
7,36.600000,34.070000,56.780000,22.710000
8,32.200000,34.080000,59.740000,25.660000
9,28.700000,34.090000,62.740000,28.650000
10,26.000000,34.100000,65.670000,31.570000
11,23.700000,34.120000,68.740000,34.620000
12,21.900000,34.130000,71.520000,37.390000
13,20.300000,34.140000,74.390000,40.250000
14,19.000000,34.160000,77.200000,43.040000
15,17.900000,34.180000,80.000000,45.820000
16,16.800000,34.190000,82.800000,48.610000
