alloc,latency(M),DRAM,Total,PKG
1,42.500000,34.050000,38.410000,4.360000
2,21.900000,34.080000,41.490000,7.410000
3,15.100000,34.120000,44.500000,10.380000
4,11.600000,34.150000,47.320000,13.170000
5,9.600000,34.200000,50.110000,15.910000
6,8.200000,34.240000,52.730000,18.490000
7,7.300000,34.280000,55.280000,21.000000
8,6.500000,34.330000,57.770000,23.440000
9,6.000000,34.390000,60.100000,25.710000
10,5.500000,34.420000,62.310000,27.890000
11,5.100000,34.480000,64.640000,30.160000
12,4.800000,34.530000,66.700000,32.170000
13,4.600000,34.590000,68.830000,34.240000
14,4.400000,34.630000,70.850000,36.220000
15,4.200000,34.720000,72.910000,38.190000
16,4.000000,34.770000,74.960000,40.190000
